opcode 5, rd 6, rt 6, rn 5, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 5, braddr 166
opcode 1986, rd 9, rt 9, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131073, braddr 4194345
opcode 1112, rd 10, rt 10, rn 0, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63488, braddr -14745590
opcode 1112, rd 0, rt 0, rn 9, rm 31, shamt 0, aluimm 1984, dtaddr -16, condaddr 63497, braddr -14745312
opcode 1984, rd 10, rt 10, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 42
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 580, rd 2, rt 2, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778210
opcode 580, rd 9, rt 9, rn 2, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 2, braddr 16777289
opcode 580, rd 10, rt 10, rn 2, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 34, braddr 16778314
opcode 1880, rd 31, rt 31, rn 10, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2058, braddr -16711329
opcode 84, rd 10, rt 10, rn 11, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 11, braddr 362
opcode 1112, rd 11, rt 11, rn 0, rm 11, shamt 0, aluimm 704, dtaddr 176, condaddr 22528, braddr -16056309
opcode 1986, rd 12, rt 12, rn 11, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131083, braddr 4194668
opcode 1691, rd 11, rt 11, rn 10, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196714, braddr -10482357
opcode 580, rd 10, rt 10, rn 10, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 42, braddr 16778570
opcode 1880, rd 31, rt 31, rn 12, rm 3, shamt 0, aluimm 192, dtaddr 48, condaddr 6156, braddr -16580193
opcode 84, rd 13, rt 13, rn 3, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 3, braddr 109
opcode 1880, rd 31, rt 31, rn 10, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2058, braddr -16711329
opcode 84, rd 13, rt 13, rn 23, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -9, braddr 16776941
opcode 580, rd 9, rt 9, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778537
opcode 5, rd 21, rt 21, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -11
opcode 580, rd 0, rt 0, rn 9, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 9, braddr 16777504
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 1112, rd 10, rt 10, rn 31, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2079, braddr -16710678
opcode 1112, rd 13, rt 13, rn 31, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4127, braddr -16645139
opcode 1691, rd 11, rt 11, rn 10, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196714, braddr -10482357
opcode 1112, rd 11, rt 11, rn 0, rm 11, shamt 0, aluimm 704, dtaddr 176, condaddr 22528, braddr -16056309
opcode 1986, rd 12, rt 12, rn 11, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131083, braddr 4194668
opcode 1880, rd 14, rt 14, rn 13, rm 12, shamt 0, aluimm 768, dtaddr 192, condaddr 24589, braddr -15990354
opcode 181, rd 14, rt 14, rn 3, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 3, braddr 16777326
opcode 580, rd 10, rt 10, rn 10, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 42, braddr 16778570
